s__Enterococcus_B hirae	GCA_000271405.2
s__Pan265 sp007748075	GCA_007748075.1
s__CAG-127 sp900319515	GCA_014337155.1
s__VN6-2 sp018437505	GCA_018437505.1
s__Staphylococcus piscifermentans	GCA_900186985.1
s__Bacillus_S pseudofirmus	GCF_000005825.2
s__Leifsonia xyli_C	GCF_000007665.1
s__Mesomycoplasma hyopneumoniae	GCF_000008205.1
s__Alcanivorax borkumensis	GCF_000009365.1
s__Trichormus sp000009705	GCF_000009705.1
s__Symbiobacterium thermophilum	GCF_000009905.1
s__Chlamydophila felis	GCF_000009945.1
s__Finegoldia magna_H	GCF_000010185.1
s__Solidesulfovibrio magneticus	GCF_000010665.1
s__Oceanobacillus iheyensis	GCF_000011245.1
s__Chlamydia trachomatis	GCF_000012125.1
s__Synechococcus_E sp000012505	GCF_000012505.1
s__Parabacteroides distasonis	GCF_000012845.1
s__Leuconostoc mesenteroides	GCF_000014445.1
s__Synechococcus_C sp000014585	GCF_000014585.1
s__Polynucleobacter asymbioticus	GCF_000016345.1
s__Roseiflexus sp000016665	GCF_000016665.1
s__Ochrobactrum anthropi	GCF_000017405.1
s__Thermoanaerobacter pseudethanolicus	GCF_000019085.1
s__Shewanella halifaxensis	GCF_000019185.1
s__Beijerinckia indica	GCF_000019845.1
s__Nautilia profundicola	GCF_000021725.1
s__Tolumonas auensis	GCF_000023065.1
s__Desulfohalobium retbaense	GCF_000024325.1
s__Stackebrandtia nassauensis	GCF_000024545.1
s__Denitrovibrio acetiphilus	GCF_000025725.1
s__Coraliomargarita akajimensis	GCF_000025905.1
s__Hyphomicrobium denitrificans	GCF_000143145.1
s__Fusobacterium animalis	GCF_000158275.2
s__Rhizobium sp000172795	GCF_000172795.2
s__Sulfuricurvum kujiense	GCF_000183725.1
s__Bacteroides helcogenes	GCF_000186225.1
s__Odoribacter splanchnicus	GCF_000190535.1
s__Bacillus amyloliquefaciens	GCF_000196735.1
s__Chlamydophila pecorum	GCF_000204135.1
s__Clostridium_H botulinum_B	GCF_000204565.1
s__Cellulomonas gilvus	GCF_000218545.1
s__Afipia carboxidovorans	GCF_000218565.1
s__Micavibrio aeruginosavorus_B	GCF_000226315.1
s__Thermovirga lienii	GCF_000233775.1
s__Tistrella mobilis	GCF_000264455.2
s__Caldilinea aerophila	GCF_000281175.1
s__PCC-7367 sp000317065	GCF_000317065.1
s__Chroogloeocystis sp000317555	GCF_000317555.1
s__Halothece salina	GCF_000317615.1
s__Tepidanaerobacter acetatoxydans	GCF_000328765.2
s__Kinetoplastibacterium desouzaii	GCF_000340795.1
s__Bartonella australis	GCF_000341355.1
s__Pseudomonas sp000349845	GCF_000349845.1
s__Thalassolituus oleivorans	GCF_000355675.1
s__Clostridium saccharobutylicum	GCF_000473995.1
s__Endolissoclinum faulkneri_A	GCF_000510265.1
s__Leisingera methylohalidivorans	GCF_000511355.1
s__Serratia bockelmannii	GCF_000513215.1
s__Mesomycoplasma bovoculi	GCF_000524555.1
s__Sulfurospirillum multivorans	GCF_000568815.1
s__Pseudomonas_E brassicacearum_A	GCF_000585995.1
s__Planktomarina temperata	GCF_000738435.1
s__Paenibacillus sp000758525	GCF_000758525.1
s__Paenibacillus sp000758545	GCF_000758545.1
s__Paenibacillus sp000758605	GCF_000758605.1
s__Francisella sp000764555	GCF_000764555.1
s__Specibacter sp000785535	GCF_000785535.1
s__Pandoraea sputorum	GCF_000814845.2
s__Metamycoplasma canadense	GCF_000828855.1
s__Lacticaseibacillus paracasei	GCF_000829035.1
s__Sulcia muelleri_A	GCF_000829155.1
s__Sporosarcina sp000829195	GCF_000829195.1
s__Corynebacterium singulare	GCF_000833575.1
s__Burkholderia glumae	GCF_000960995.1
s__Pseudoxanthomonas suwonensis_B	GCF_000972865.1
s__Paenibacillus riograndensis	GCF_000981585.1
s__Microcystis aeruginosa_C	GCF_000981785.2
