#bp.overlap	chr	cpgnum	entrez	gcnum	genesym	name	obsexp	refgene	start	stop	pval	qval	Class	nonzero_frac	avgGrpA	avgGrpB	150410_MCS0001_V1D_CACGAT_L002_R1	150410_MCS0002_V1D_ATACGG_L008_R1	150410_MCS0004_V1D_GATGCT_L008_R1	150410_MCSLNP4014_V1D_GGCCTG_L008_R1	150410_MCSLNP4015_V1D_TGAATG_L002_R1	MCSLNP4021_V1D
1772;1772;1772;401;401	chr3	170	10675;10675;10675;10675;10675	1234	CSPG5;CSPG5;CSPG5;CSPG5;CSPG5	CpG:170	0.91	NM_001206943;NM_006574;NM_001206944;NM_001206942;NM_001206945	47619112	47621131	0	0	1	0.581920904	0.003032223	0.004242382	0.001589854	0.003137519	0.004369296	0.003966162	0.002230687	0.006530296
253;253;253;253;253	chr7	20	100505881;100505881;9863;100505881;100505881	165	MAGI2-AS3;MAGI2-AS3;MAGI2;MAGI2-AS3;MAGI2-AS3	CpG:20	0.78	NR_038346;NR_038345;NM_012301;NR_038343;NR_038344	79082174	79082427	0	0	3	0.5	0	0.002093409	0	0	0	0.0020225	0.00196256	0.002295168
275	chr4	27	55601	196	DDX60	CpG:27	0.82	NM_017631	169239549	169239824	0	0	3	0.487654321	0	0.001512857	0	0	0	0.001472829	0.001530121	0.001535621
439;439	chr9	47	2733;2733	301	GLE1;GLE1	CpG:47	0.92	NM_001003722;NM_001499	131266838	131267277	0	0	3	0.354609929	0	0.001231225	0	0	0	0.000921063	0.000944563	0.001828047
737;737;737	chr11	74	11007;9158;9158	502	CCDC85B;FIBP;FIBP	CpG:74	0.87	NM_006848;NM_198897;NM_004214	65655469	65656206	0	0	3	0.220720721	7.91956E-07	0.001072945	2.37587E-06	0	0	0.00041908	0.000434037	0.002365717
767	chr12	64	51228	420	GLTP	CpG:64	1.13	NM_016433	110318011	110318778	5.1012E-221	1.257E-217	3	0.34375	0	0.000695097	0	0	0	0.000451678	0.000441998	0.001191615
553;553	chr5	41	134359;134359	344	POC5;POC5	CpG:41	0.77	NM_152408;NM_001099271	75012962	75013515	7.4388E-125	1.5712E-121	1	0.650406504	0.000525595	0.003854512	0.000749961	0.000439611	0.000387211	0.002148968	0.002465935	0.006948634
655;655;655;655	chr20	52	100507495;100507495;100507495;27111	390	SDCBP2-AS1;SDCBP2-AS1;SDCBP2-AS1;SDCBP2	CpG:52	0.9	NR_040047;NR_040048;NR_040049;NM_001199784	1305899	1306554	3.5841E-119	6.6238E-116	3	0.375	0	0.001571575	0	0	0	0.000805877	0.000859304	0.003049544
914;914;914;914	chr16	81	100289092;100289092;100289092;100289092	628	LOC100289092;LOC100289092;LOC100289092;LOC100289092	CpG:81	0.76	NR_046287;NR_046290;NR_046288;NR_046289	28890954	28891868	1.2943E-117	2.1262E-114	3	0.479423868	0.000113805	0.003721134	5.76019E-05	0.000213706	7.01084E-05	0.002305593	0.002566542	0.006291267
213	chr1	35	84243	167	ZDHHC18	CpG:35	1.07	NM_032283	27143740	27143953	2.8541E-110	4.2198E-107	1	1	0.052084292	0.032848367	0.046824969	0.04398722	0.065440687	0.041172047	0.030634405	0.026738648
959;959;959	chr6	72	85235;85236;100422934	542	HIST1H2AH;HIST1H2BK;MIR3143	CpG:72	0.94	NM_080596;NM_080593;NR_036096	27114222	27115181	5.83344E-87	7.84067E-84	3	0.435185185	0	0.00139654	0	0	0	0.001204476	0.00122364	0.001761503
2662;2662	chr1	257	100130417;148398	1642	LOC100130417;SAMD11	CpG:257	1.02	NR_026874;NM_152486	858970	861632	4.68667E-65	5.77437E-62	3	0.389380531	5.31256E-05	0.001128828	0	1.03245E-05	0.000149052	0.000448208	0.000720831	0.002217445
433	chr16	37	4501	287	MT1X	CpG:37	0.78	NM_005952	56715992	56716425	2.15719E-51	2.45339E-48	3	0.5	0	0.001377902	0	0	0	0.001660011	0.001342959	0.001130737
593	chr20	64	128486	419	FITM2	CpG:64	0.88	NM_001080472	42939450	42940043	4.84205E-48	5.11355E-45	3	0.341145833	0	0.001621575	0	0	0	0.000462937	0.000499497	0.003902289
923	chr21	91	6647	571	SOD1	CpG:91	1.03	NM_000454	33031734	33032657	7.34435E-48	7.23908E-45	3	0.316816817	7.97784E-05	0.001312832	0	0.000239335	0	0.000513493	0.000673775	0.002751229
313;313	chr11	23	60494;60494	205	CCDC81;CCDC81	CpG:23	0.69	NM_001156474;NM_021827	86085693	86086006	6.87654E-47	6.35435E-44	1	1	0.009105943	0.021964988	0.005581702	0.009986157	0.01174997	0.024273682	0.022091735	0.019529546
810;810	chr7	88	100616270;5447	583	MIR4651;POR	CpG:88	0.84	NR_039795;NM_000941	75543965	75544775	1.12842E-45	9.81392E-43	3	0.356060606	9.91177E-05	0.00128211	0	0	0.000297353	0.000427319	0.000500053	0.002918958
691	chr10	74	401647	453	GOLGA7B	CpG:74	1	NM_001010917	99609425	99610116	3.6138E-45	2.96833E-42	3	0.385185185	9.38948E-08	0.000944307	0	2.81684E-07	0	0.00048179	0.000478164	0.001872967
